year;month;location;location_type;category;grape_type;volume_hl;value_usd
2016;11;AC;Brazil_State;Sales;Table;1234;2828.7
2016;11;AC;Brazil_State;Sales;Wine;177;430.41
2016;11;AC;Brazil_State;Sales;Sparkling;619;2367.7
2016;12;AC;Brazil_State;Production;Table;2783;4850.61
2016;12;AC;Brazil_State;Production;Wine;4064;16154.95
2016;12;AC;Brazil_State;Production;Sparkling;3059;6532.22
2016;12;AC;Brazil_State;Sales;Table;2587;9554.91
2016;12;AC;Brazil_State;Sales;Wine;834;3020.48
2016;12;AC;Brazil_State;Sales;Sparkling;4391;10532.81
2017;1;AC;Brazil_State;Production;Table;2856;7281.24
2017;1;AC;Brazil_State;Production;Wine;1891;6935.58
2017;1;AC;Brazil_State;Production;Sparkling;574;978.09
2017;1;AC;Brazil_State;Sales;Table;3000;8261.37
2017;1;AC;Brazil_State;Sales;Wine;4830;9590.86
2017;1;AC;Brazil_State;Sales;Sparkling;3897;12684.41
2017;2;AC;Brazil_State;Production;Table;4545;7394.36
2017;2;AC;Brazil_State;Production;Wine;1216;2965.77
2017;2;AC;Brazil_State;Production;Sparkling;4979;12926.41
2017;2;AC;Brazil_State;Sales;Table;2032;3230.59
2017;2;AC;Brazil_State;Sales;Wine;3786;7146.47
2017;2;AC;Brazil_State;Sales;Sparkling;3311;7338.35
2017;3;AC;Brazil_State;Production;Table;1765;2818.86
2017;3;AC;Brazil_State;Production;Wine;3904;9371.46
2017;3;AC;Brazil_State;Production;Sparkling;2541;5886.55
2017;3;AC;Brazil_State;Sales;Table;3174;6915.69
2017;3;AC;Brazil_State;Sales;Wine;54;142.73
2017;3;AC;Brazil_State;Sales;Sparkling;4919;8014.06
2017;4;AC;Brazil_State;Production;Table;4192;13618.89
2017;4;AC;Brazil_State;Production;Wine;4414;17319.84
2017;4;AC;Brazil_State;Production;Sparkling;1743;2793.45
2017;4;AC;Brazil_State;Sales;Table;169;367.93
2017;4;AC;Brazil_State;Sales;Wine;3725;12516.4
2017;4;AC;Brazil_State;Sales;Sparkling;1419;2218.43
2017;5;AC;Brazil_State;Production;Table;166;282.56
2017;5;AC;Brazil_State;Production;Wine;1200;3887.92
2017;5;AC;Brazil_State;Production;Sparkling;1062;1747.5
2017;5;AC;Brazil_State;Sales;Table;4779;9037.53
2017;5;AC;Brazil_State;Sales;Wine;2899;6086.36
2017;5;AC;Brazil_State;Sales;Sparkling;609;1191.91
2017;6;AC;Brazil_State;Production;Table;3393;9472.38
2017;6;AC;Brazil_State;Production;Wine;4849;13993.66
2017;6;AC;Brazil_State;Production;Sparkling;2344;3795.62
2017;6;AC;Brazil_State;Sales;Table;4299;10274.32
2017;6;AC;Brazil_State;Sales;Wine;2794;6579.03
2017;6;AC;Brazil_State;Sales;Sparkling;1293;2088.2
2017;7;AC;Brazil_State;Production;Table;2191;7972.29
2017;7;AC;Brazil_State;Production;Wine;3109;6026.25
2017;7;AC;Brazil_State;Production;Sparkling;3009;5249.46
2017;7;AC;Brazil_State;Sales;Table;2529;8895.21
2017;7;AC;Brazil_State;Sales;Wine;1685;3257.11
2017;7;AC;Brazil_State;Sales;Sparkling;1807;5645.85
2017;8;AC;Brazil_State;Production;Table;2899;6239.33
2017;8;AC;Brazil_State;Production;Wine;3780;10424.64
2017;8;AC;Brazil_State;Production;Sparkling;2866;8163.64
2017;8;AC;Brazil_State;Sales;Table;4661;14167.71
2017;8;AC;Brazil_State;Sales;Wine;385;1195.83
2017;8;AC;Brazil_State;Sales;Sparkling;4642;17026.84
2017;9;AC;Brazil_State;Production;Table;3596;12594.53
2017;9;AC;Brazil_State;Production;Wine;1981;4893.91
2017;9;AC;Brazil_State;Production;Sparkling;2477;4511.24
2017;9;AC;Brazil_State;Sales;Table;2788;9901.86
2017;9;AC;Brazil_State;Sales;Wine;3963;7992.23
2017;9;AC;Brazil_State;Sales;Sparkling;4430;7413.18
2017;10;AC;Brazil_State;Production;Table;3423;5290.43
2017;10;AC;Brazil_State;Production;Wine;2596;7906.47
2017;10;AC;Brazil_State;Production;Sparkling;2824;4738.59
2017;10;AC;Brazil_State;Sales;Table;825;2032.38
2017;10;AC;Brazil_State;Sales;Wine;1675;3938.87
2017;10;AC;Brazil_State;Sales;Sparkling;164;361.56
2017;11;AC;Brazil_State;Production;Table;3317;10721.29
2017;11;AC;Brazil_State;Production;Wine;1566;6015.98
2017;11;AC;Brazil_State;Production;Sparkling;778;2729.77
2017;11;AC;Brazil_State;Sales;Table;2858;8202.26
2017;11;AC;Brazil_State;Sales;Wine;2554;7461.0
2017;11;AC;Brazil_State;Sales;Sparkling;2836;11276.68
2017;12;AC;Brazil_State;Production;Table;4129;7511.58
2017;12;AC;Brazil_State;Production;Wine;2193;5157.96
2017;12;AC;Brazil_State;Production;Sparkling;4182;8767.53
2017;12;AC;Brazil_State;Sales;Table;3816;12887.31
2017;12;AC;Brazil_State;Sales;Wine;2964;5210.15
2017;12;AC;Brazil_State;Sales;Sparkling;4002;11058.05
2018;1;AC;Brazil_State;Production;Table;778;1789.5
2018;1;AC;Brazil_State;Production;Wine;748;1308.97
2018;1;AC;Brazil_State;Production;Sparkling;445;1733.88
2018;1;AC;Brazil_State;Sales;Table;4221;10076.64
2018;1;AC;Brazil_State;Sales;Wine;1869;7242.66
2018;1;AC;Brazil_State;Sales;Sparkling;4996;13651.89
2018;2;AC;Brazil_State;Production;Table;193;505.87
2018;2;AC;Brazil_State;Production;Wine;4541;10542.66
2018;2;AC;Brazil_State;Production;Sparkling;2988;6071.08
2018;2;AC;Brazil_State;Sales;Table;3686;12823.4
2018;2;AC;Brazil_State;Sales;Wine;2666;4755.24
2018;2;AC;Brazil_State;Sales;Sparkling;3032;12097.16
2018;3;AC;Brazil_State;Production;Table;4779;12443.69
2018;3;AC;Brazil_State;Production;Wine;782;1859.04
2018;3;AC;Brazil_State;Production;Sparkling;4896;9094.22
2018;3;AC;Brazil_State;Sales;Table;1003;3054.68
2018;3;AC;Brazil_State;Sales;Wine;3374;12133.59
2018;3;AC;Brazil_State;Sales;Sparkling;1241;2087.25
2018;4;AC;Brazil_State;Production;Table;3043;11349.61
2018;4;AC;Brazil_State;Production;Wine;1267;2158.17
2018;4;AC;Brazil_State;Production;Sparkling;3286;6844.97
2018;4;AC;Brazil_State;Sales;Table;3769;9180.07
2018;4;AC;Brazil_State;Sales;Wine;1906;7053.92
2018;4;AC;Brazil_State;Sales;Sparkling;1730;6691.85
2018;5;AC;Brazil_State;Production;Table;4362;12997.55
2018;5;AC;Brazil_State;Production;Wine;1877;4581.1
2018;5;AC;Brazil_State;Production;Sparkling;3536;9561.94
2018;5;AC;Brazil_State;Sales;Table;2973;8609.84
2018;5;AC;Brazil_State;Sales;Wine;4236;8987.99
2018;5;AC;Brazil_State;Sales;Sparkling;3652;6493.23
2018;6;AC;Brazil_State;Production;Table;3572;7623.38
2018;6;AC;Brazil_State;Production;Wine;4899;13088.42
2018;6;AC;Brazil_State;Production;Sparkling;1131;3791.6
2018;6;AC;Brazil_State;Sales;Table;505;905.88
2018;6;AC;Brazil_State;Sales;Wine;1434;4819.0
2018;6;AC;Brazil_State;Sales;Sparkling;2046;4283.85
2018;7;AC;Brazil_State;Production;Table;554;1350.2
2018;7;AC;Brazil_State;Production;Wine;3490;5958.23
2018;7;AC;Brazil_State;Production;Sparkling;978;2013.69
2018;7;AC;Brazil_State;Sales;Table;183;641.46
2018;7;AC;Brazil_State;Sales;Wine;4830;18956.29
2018;7;AC;Brazil_State;Sales;Sparkling;1902;4387.37
2018;8;AC;Brazil_State;Production;Table;4225;11911.34
2018;8;AC;Brazil_State;Production;Wine;4348;16512.79
2018;8;AC;Brazil_State;Production;Sparkling;1300;4210.09
2018;8;AC;Brazil_State;Sales;Table;3562;10001.19
2018;8;AC;Brazil_State;Sales;Wine;1306;2666.88
2018;8;AC;Brazil_State;Sales;Sparkling;3536;14107.15
2018;9;AC;Brazil_State;Production;Table;3687;10916.42
2018;9;AC;Brazil_State;Production;Wine;2753;9202.6
2018;9;AC;Brazil_State;Production;Sparkling;1403;5438.07
2018;9;AC;Brazil_State;Sales;Table;407;1074.13
2018;9;AC;Brazil_State;Sales;Wine;717;1677.17
2018;9;AC;Brazil_State;Sales;Sparkling;1195;2354.51
2018;10;AC;Brazil_State;Production;Table;4235;10463.29
2018;10;AC;Brazil_State;Production;Wine;589;997.96
2018;10;AC;Brazil_State;Production;Sparkling;4186;8999.38
2018;10;AC;Brazil_State;Sales;Table;2558;8215.86
2018;10;AC;Brazil_State;Sales;Wine;974;1785.31
2018;10;AC;Brazil_State;Sales;Sparkling;3374;12994.39
2018;11;AC;Brazil_State;Production;Table;305;900.64
2018;11;AC;Brazil_State;Production;Wine;1994;5075.94
2018;11;AC;Brazil_State;Production;Sparkling;2921;10783.32
2018;11;AC;Brazil_State;Sales;Table;1065;2599.83
2018;11;AC;Brazil_State;Sales;Wine;3186;8605.15
2018;11;AC;Brazil_State;Sales;Sparkling;4998;16862.98
2018;12;AC;Brazil_State;Production;Table;3975;14202.32
2018;12;AC;Brazil_State;Production;Wine;4834;17382.2
2018;12;AC;Brazil_State;Production;Sparkling;1683;2679.43
2018;12;AC;Brazil_State;Sales;Table;560;1222.77
2018;12;AC;Brazil_State;Sales;Wine;4663;15058.16
2018;12;AC;Brazil_State;Sales;Sparkling;2806;11222.02
2019;1;AC;Brazil_State;Production;Table;1510;4473.94
2019;1;AC;Brazil_State;Production;Wine;3686;14235.02
2019;1;AC;Brazil_State;Production;Sparkling;4228;8956.47
2019;1;AC;Brazil_State;Sales;Table;2098;8151.0
2019;1;AC;Brazil_State;Sales;Wine;766;1545.84
2019;1;AC;Brazil_State;Sales;Sparkling;4594;14605.48
2019;2;AC;Brazil_State;Production;Table;1873;3029.09
2019;2;AC;Brazil_State;Production;Wine;1624;5162.59
2019;2;AC;Brazil_State;Production;Sparkling;723;1945.25
2019;2;AC;Brazil_State;Sales;Table;820;2296.34
2019;2;AC;Brazil_State;Sales;Wine;4413;15626.28
2019;2;AC;Brazil_State;Sales;Sparkling;285;827.17
2019;3;AC;Brazil_State;Production;Table;4908;12312.73
2019;3;AC;Brazil_State;Production;Wine;4769;12876.85
2019;3;AC;Brazil_State;Production;Sparkling;3328;11520.44
2019;3;AC;Brazil_State;Sales;Table;4031;13141.86
2019;3;AC;Brazil_State;Sales;Wine;4580;17211.08
2019;3;AC;Brazil_State;Sales;Sparkling;4909;19396.23
2019;4;AC;Brazil_State;Production;Table;1379;4102.24
2019;4;AC;Brazil_State;Production;Wine;1408;3651.91
2019;4;AC;Brazil_State;Production;Sparkling;4592;15227.04
2019;4;AC;Brazil_State;Sales;Table;4394;12237.17
2019;4;AC;Brazil_State;Sales;Wine;1408;3507.83
2019;4;AC;Brazil_State;Sales;Sparkling;4904;13775.36
2019;5;AC;Brazil_State;Production;Table;2178;8437.14
2019;5;AC;Brazil_State;Production;Wine;187;713.68
2019;5;AC;Brazil_State;Production;Sparkling;2882;6183.65
2019;5;AC;Brazil_State;Sales;Table;3081;4974.75
2019;5;AC;Brazil_State;Sales;Wine;4350;8799.3
2019;5;AC;Brazil_State;Sales;Sparkling;4188;8796.32
2019;6;AC;Brazil_State;Production;Table;1956;5561.22
2019;6;AC;Brazil_State;Production;Wine;3495;11338.37
2019;6;AC;Brazil_State;Production;Sparkling;949;1855.01
2019;6;AC;Brazil_State;Sales;Table;1769;4474.07
2019;6;AC;Brazil_State;Sales;Wine;1937;5200.66
2019;6;AC;Brazil_State;Sales;Sparkling;4238;16667.1
2019;7;AC;Brazil_State;Production;Table;4206;8330.92
2019;7;AC;Brazil_State;Production;Wine;4749;11250.61
2019;7;AC;Brazil_State;Production;Sparkling;573;1155.07
2019;7;AC;Brazil_State;Sales;Table;2643;4815.21
2019;7;AC;Brazil_State;Sales;Wine;1803;5816.45
2019;7;AC;Brazil_State;Sales;Sparkling;2346;6340.92
2019;8;AC;Brazil_State;Production;Table;2311;3938.86
2019;8;AC;Brazil_State;Production;Wine;4252;16166.87
2019;8;AC;Brazil_State;Production;Sparkling;3694;5564.97
2019;8;AC;Brazil_State;Sales;Table;2105;7095.22
2019;8;AC;Brazil_State;Sales;Wine;1326;5258.44
2019;8;AC;Brazil_State;Sales;Sparkling;352;854.02
2019;9;AC;Brazil_State;Production;Table;4871;10181.81
2019;9;AC;Brazil_State;Production;Wine;4173;10108.19
2019;9;AC;Brazil_State;Production;Sparkling;3337;11016.41
2019;9;AC;Brazil_State;Sales;Table;4671;8731.72
2019;9;AC;Brazil_State;Sales;Wine;1696;6124.43
2019;9;AC;Brazil_State;Sales;Sparkling;1581;2795.1
2019;10;AC;Brazil_State;Production;Table;1956;4119.68
2019;10;AC;Brazil_State;Production;Wine;4630;9054.94
2019;10;AC;Brazil_State;Production;Sparkling;1112;2563.38
2019;10;AC;Brazil_State;Sales;Table;175;314.9
2019;10;AC;Brazil_State;Sales;Wine;3646;10879.6
2019;10;AC;Brazil_State;Sales;Sparkling;1653;3946.97
2019;11;AC;Brazil_State;Production;Table;282;774.4
2019;11;AC;Brazil_State;Production;Wine;2208;6536.78
2019;11;AC;Brazil_State;Production;Sparkling;1543;4578.24
2019;11;AC;Brazil_State;Sales;Table;4057;10463.61
2019;11;AC;Brazil_State;Sales;Wine;2522;5910.6
2019;11;AC;Brazil_State;Sales;Sparkling;2789;8687.16
2019;12;AC;Brazil_State;Production;Table;1811;3822.81
2019;12;AC;Brazil_State;Production;Wine;2412;9566.69
2019;12;AC;Brazil_State;Production;Sparkling;3862;14807.79
2019;12;AC;Brazil_State;Sales;Table;1510;2649.23
2019;12;AC;Brazil_State;Sales;Wine;1783;4303.08
2019;12;AC;Brazil_State;Sales;Sparkling;2613;9477.47
2020;1;AC;Brazil_State;Production;Table;3567;7892.84
2020;1;AC;Brazil_State;Production;Wine;3785;14163.14
2020;1;AC;Brazil_State;Production;Sparkling;4904;7989.05
2020;1;AC;Brazil_State;Sales;Table;2640;6668.62
2020;1;AC;Brazil_State;Sales;Wine;2645;10561.85
2020;1;AC;Brazil_State;Sales;Sparkling;55;137.21
2020;2;AC;Brazil_State;Production;Table;4220;15461.1
2020;2;AC;Brazil_State;Production;Wine;695;2736.68
2020;2;AC;Brazil_State;Production;Sparkling;2601;8602.13
2020;2;AC;Brazil_State;Sales;Table;4339;12547.99
2020;2;AC;Brazil_State;Sales;Wine;1191;3903.36
2020;2;AC;Brazil_State;Sales;Sparkling;773;2140.46
2020;3;AC;Brazil_State;Production;Table;4258;12027.15
2020;3;AC;Brazil_State;Production;Wine;2098;6349.7
2020;3;AC;Brazil_State;Production;Sparkling;4465;7671.88
2020;3;AC;Brazil_State;Sales;Table;1967;3709.58
2020;3;AC;Brazil_State;Sales;Wine;2076;6196.25
2020;3;AC;Brazil_State;Sales;Sparkling;951;2226.78
2020;4;AC;Brazil_State;Production;Table;59;169.42
2020;4;AC;Brazil_State;Production;Wine;1723;6848.75
2020;4;AC;Brazil_State;Production;Sparkling;2110;6776.11
2020;4;AC;Brazil_State;Sales;Table;1669;3565.99
2020;4;AC;Brazil_State;Sales;Wine;2426;8249.78
2020;4;AC;Brazil_State;Sales;Sparkling;2044;5483.88
2020;5;AC;Brazil_State;Production;Table;2088;7278.19
2020;5;AC;Brazil_State;Production;Wine;1168;4466.23
2020;5;AC;Brazil_State;Production;Sparkling;4077;15951.54
2020;5;AC;Brazil_State;Sales;Table;4479;17165.07
2020;5;AC;Brazil_State;Sales;Wine;3580;13768.15
2020;5;AC;Brazil_State;Sales;Sparkling;2685;6573.07
2020;6;AC;Brazil_State;Production;Table;2610;8750.81
2020;6;AC;Brazil_State;Production;Wine;3015;4885.01
2020;6;AC;Brazil_State;Production;Sparkling;3900;13603.86
2020;6;AC;Brazil_State;Sales;Table;1364;2606.15
2020;6;AC;Brazil_State;Sales;Wine;2948;9324.5
2020;6;AC;Brazil_State;Sales;Sparkling;2671;6402.59
2020;7;AC;Brazil_State;Production;Table;1115;2766.44
2020;7;AC;Brazil_State;Production;Wine;2393;6293.28
2020;7;AC;Brazil_State;Production;Sparkling;4761;11628.08
2020;7;AC;Brazil_State;Sales;Table;3812;11665.69
2020;7;AC;Brazil_State;Sales;Wine;4720;13012.1
2020;7;AC;Brazil_State;Sales;Sparkling;2762;6596.78
2020;8;AC;Brazil_State;Production;Table;3104;7635.0
2020;8;AC;Brazil_State;Production;Wine;2047;3411.42
2020;8;AC;Brazil_State;Production;Sparkling;2201;6736.37
2020;8;AC;Brazil_State;Sales;Table;2020;5209.22
2020;8;AC;Brazil_State;Sales;Wine;2676;8213.37
2020;8;AC;Brazil_State;Sales;Sparkling;2085;6992.36
2020;9;AC;Brazil_State;Production;Table;972;3374.29
2020;9;AC;Brazil_State;Production;Wine;2647;8949.53
2020;9;AC;Brazil_State;Production;Sparkling;3118;6613.97
2020;9;AC;Brazil_State;Sales;Table;1000;1857.82
2020;9;AC;Brazil_State;Sales;Wine;2293;6706.39
2020;9;AC;Brazil_State;Sales;Sparkling;4662;17211.7
2020;10;AC;Brazil_State;Production;Table;2962;5205.09
2020;10;AC;Brazil_State;Production;Wine;4960;17936.01
2020;10;AC;Brazil_State;Production;Sparkling;3278;9341.16
2020;10;AC;Brazil_State;Sales;Table;3278;6795.72
2020;10;AC;Brazil_State;Sales;Wine;2941;10086.76
2020;10;AC;Brazil_State;Sales;Sparkling;144;431.44
2020;11;AC;Brazil_State;Production;Table;2005;5727.91
2020;11;AC;Brazil_State;Production;Wine;1884;5647.43
2020;11;AC;Brazil_State;Production;Sparkling;4156;16198.79
2020;11;AC;Brazil_State;Sales;Table;2969;8783.73
2020;11;AC;Brazil_State;Sales;Wine;4857;12429.02
2020;11;AC;Brazil_State;Sales;Sparkling;395;1527.94
2020;12;AC;Brazil_State;Production;Table;2493;9422.62
2020;12;AC;Brazil_State;Production;Wine;3055;5352.32
2020;12;AC;Brazil_State;Production;Sparkling;1689;6216.04
2020;12;AC;Brazil_State;Sales;Table;3581;6286.56
2020;12;AC;Brazil_State;Sales;Wine;2985;4649.31
2020;12;AC;Brazil_State;Sales;Sparkling;176;331.12
2021;1;AC;Brazil_State;Production;Table;653;1590.77
2021;1;AC;Brazil_State;Production;Wine;4196;14019.3
2021;1;AC;Brazil_State;Production;Sparkling;3417;12304.96
2021;1;AC;Brazil_State;Sales;Table;1842;3284.46
2021;1;AC;Brazil_State;Sales;Wine;3526;6748.06
2021;1;AC;Brazil_State;Sales;Sparkling;1255;4510.13
2021;2;AC;Brazil_State;Production;Table;3122;11472.54
2021;2;AC;Brazil_State;Production;Wine;4712;9746.72
2021;2;AC;Brazil_State;Production;Sparkling;2758;6752.31
2021;2;AC;Brazil_State;Sales;Table;1382;3231.11
2021;2;AC;Brazil_State;Sales;Wine;3557;12340.92
2021;2;AC;Brazil_State;Sales;Sparkling;624;1582.63
2021;3;AC;Brazil_State;Production;Table;1675;6364.4
2021;3;AC;Brazil_State;Production;Wine;435;1158.95
2021;3;AC;Brazil_State;Production;Sparkling;524;1752.13
2021;3;AC;Brazil_State;Sales;Table;3650;10832.0
2021;3;AC;Brazil_State;Sales;Wine;1004;2641.62
2021;3;AC;Brazil_State;Sales;Sparkling;1255;2435.91
2021;4;AC;Brazil_State;Production;Table;2040;3904.12
2021;4;AC;Brazil_State;Production;Wine;3622;13716.93
2021;4;AC;Brazil_State;Production;Sparkling;4430;13075.02
2021;4;AC;Brazil_State;Sales;Table;4807;9855.52
2021;4;AC;Brazil_State;Sales;Wine;3170;6165.94
